Linux 2.6.18-164.2.1.el5 (rmai3db.ads.sp1.yahoo.com) 	08/21/2011

09:13:02 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:13:12 PM  all   27.58    0.00   21.73    0.00    0.00    5.91    0.00   44.78   1044.76
09:13:12 PM    0   29.37    0.00   15.28    0.00    0.00   10.19    0.00   45.15    999.20
09:13:12 PM    1   26.07    0.00   23.18    0.00    0.00    5.69    0.00   45.05      0.00
09:13:12 PM    2   27.03    0.00   22.02    0.00    0.00    5.51    0.00   45.45      0.00
09:13:12 PM    3   26.07    0.00   22.68    0.00    0.00    5.29    0.00   45.95      0.00
09:13:12 PM    4   26.43    0.00   22.62    0.00    0.00    5.71    0.00   45.25      4.90
09:13:12 PM    5   30.47    0.00   21.38    0.00    0.00    5.49    0.00   42.66      0.00
09:13:12 PM    6   28.37    0.00   21.38    0.00    0.00    5.59    0.00   44.66      0.00
09:13:12 PM    7   26.80    0.00   21.90    0.00    0.00    6.10    0.00   45.20      0.00
09:13:12 PM    8   27.33    0.00   21.82    0.00    0.00    6.71    0.00   44.14      0.00
09:13:12 PM    9   27.20    0.00   22.60    0.00    0.00    5.70    0.00   44.50      0.00
09:13:12 PM   10   27.07    0.00   22.28    0.00    0.00    5.29    0.00   45.35     10.69
09:13:12 PM   11   25.87    0.00   22.58    0.00    0.00    5.29    0.00   46.25      1.50
09:13:12 PM   12   26.50    0.00   23.00    0.00    0.00    5.80    0.00   44.70      0.00
09:13:12 PM   13   31.30    0.00   21.30    0.00    0.00    5.20    0.00   42.20      6.59
09:13:12 PM   14   28.83    0.00   21.72    0.00    0.00    5.11    0.00   44.34     16.88
09:13:12 PM   15   26.67    0.00   21.88    0.00    0.00    5.89    0.00   45.55      4.90

09:13:12 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:13:22 PM  all   42.57    0.00   40.37    0.00    0.00   10.18    0.00    6.89   1014.91
09:13:22 PM    0   47.95    0.00   27.33    0.00    0.00   18.22    0.00    6.51   1001.10
09:13:22 PM    1   42.24    0.00   41.34    0.00    0.00    9.31    0.00    7.11      0.00
09:13:22 PM    2   42.76    0.00   42.66    0.00    0.00    9.79    0.00    4.80      0.00
09:13:22 PM    3   41.94    0.00   41.44    0.00    0.00    9.31    0.00    7.31      0.00
09:13:22 PM    4   41.20    0.00   41.20    0.00    0.00    9.50    0.00    8.10      3.80
09:13:22 PM    5   42.04    0.00   40.74    0.00    0.00    9.21    0.00    8.01      0.00
09:13:22 PM    6   42.80    0.00   40.30    0.00    0.00    9.70    0.00    7.20      0.00
09:13:22 PM    7   41.40    0.00   40.30    0.00    0.00    9.50    0.00    8.80      0.00
09:13:22 PM    8   43.00    0.00   40.10    0.00    0.00   12.40    0.00    4.50      0.00
