Linux 2.6.18-164.2.1.el5 (rmai3db.ads.sp1.yahoo.com) 	08/21/2011

09:21:37 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:21:47 PM  all   44.20    0.00   24.76    0.00    0.00    3.27    0.00   27.77   1017.08
09:21:47 PM    0   50.55    0.00   16.28    0.00    0.00    5.09    0.00   28.07    999.10
09:21:47 PM    1   45.10    0.00   24.30    0.00    0.00    3.00    0.00   27.60      0.00
09:21:47 PM    2   43.24    0.00   25.83    0.00    0.00    3.00    0.00   27.93      0.00
09:21:47 PM    3   43.70    0.00   25.30    0.00    0.00    3.30    0.00   27.70      0.00
09:21:47 PM    4   43.50    0.00   25.50    0.00    0.00    3.10    0.00   27.90      4.80
09:21:47 PM    5   42.70    0.00   25.60    0.00    0.00    3.10    0.00   28.60      0.00
09:21:47 PM    6   43.36    0.00   25.27    0.00    0.00    3.20    0.00   28.17      0.00
09:21:47 PM    7   43.30    0.00   25.40    0.00    0.00    3.10    0.00   28.20      0.00
09:21:47 PM    8   44.40    0.00   24.50    0.00    0.00    3.70    0.00   27.40      0.00
09:21:47 PM    9   46.30    0.00   24.20    0.00    0.00    3.10    0.00   26.40      0.00
09:21:47 PM   10   43.04    0.00   26.03    0.00    0.00    3.10    0.00   27.83      0.00
09:21:47 PM   11   44.40    0.00   25.00    0.00    0.00    2.80    0.00   27.80      0.00
09:21:47 PM   12   43.06    0.00   25.77    0.00    0.00    3.40    0.00   27.77      0.50
09:21:47 PM   13   43.30    0.00   26.10    0.00    0.00    2.90    0.00   27.70      7.49
09:21:47 PM   14   43.24    0.00   25.13    0.00    0.00    3.50    0.00   28.13      1.90
09:21:47 PM   15   43.80    0.00   26.00    0.00    0.00    3.10    0.00   27.10      3.20

09:21:47 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:21:57 PM  all   51.17    0.00   30.29    0.00    0.00    3.99    0.00   14.54   1024.20
