YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 10 sec: 129199 operations; 12895.4 current ops/sec;  
 20 sec: 258380 operations; 12911.64 current ops/sec;  
 30 sec: 387561 operations; 12914.23 current ops/sec;  
 40 sec: 516742 operations; 12915.52 current ops/sec;  
 50 sec: 630682 operations; 11390.58 current ops/sec; [INSERT AverageLatency(ms)=6.78] 
 60 sec: 759299 operations; 12857.84 current ops/sec; [INSERT AverageLatency(ms)=6] 
 70 sec: 866155 operations; 10681.33 current ops/sec; [INSERT AverageLatency(ms)=5] 
 80 sec: 971786 operations; 10559.93 current ops/sec; [INSERT AverageLatency(ms)=7.67] 
 90 sec: 1073989 operations; 10217.23 current ops/sec; [INSERT AverageLatency(ms)=5] 
 100 sec: 1195730 operations; 12171.67 current ops/sec;  
 110 sec: 1304068 operations; 10830.55 current ops/sec; [INSERT AverageLatency(ms)=4.5] 
 120 sec: 1420936 operations; 11683.3 current ops/sec;  
 130 sec: 1513645 operations; 9269.05 current ops/sec; [INSERT AverageLatency(ms)=8.33] 
 140 sec: 1591730 operations; 7806.16 current ops/sec; [INSERT AverageLatency(ms)=8] 
 150 sec: 1684427 operations; 9266.92 current ops/sec; [INSERT AverageLatency(ms)=8.75] 
 160 sec: 1777940 operations; 9349.43 current ops/sec;  
 170 sec: 1853899 operations; 7593.62 current ops/sec;  
 180 sec: 1953847 operations; 9991.8 current ops/sec; [INSERT AverageLatency(ms)=6] 
 190 sec: 2066001 operations; 11212.04 current ops/sec; [INSERT AverageLatency(ms)=10] 
 200 sec: 2167164 operations; 10113.27 current ops/sec; [INSERT AverageLatency(ms)=6] 
 210 sec: 2263331 operations; 9612.85 current ops/sec; [INSERT AverageLatency(ms)=6.18] 
 220 sec: 2362192 operations; 9882.15 current ops/sec; [INSERT AverageLatency(ms)=9] 
 230 sec: 2454208 operations; 9199.76 current ops/sec;  
 240 sec: 2537201 operations; 8296.81 current ops/sec; [INSERT AverageLatency(ms)=8.5] 
 250 sec: 2610954 operations; 7373.83 current ops/sec; [INSERT AverageLatency(ms)=16.5] 
 260 sec: 2710042 operations; 9904.84 current ops/sec; [INSERT AverageLatency(ms)=35.25] 
 270 sec: 2780687 operations; 7062.38 current ops/sec;  
 280 sec: 2863700 operations; 8298.81 current ops/sec;  
 290 sec: 2951605 operations; 8788.74 current ops/sec;  
 300 sec: 2970844 operations; 1923.32 current ops/sec;  
 310 sec: 2970844 operations; 0 current ops/sec;  
 320 sec: 2970844 operations; 0 current ops/sec;  
 330 sec: 2970844 operations; 0 current ops/sec;  
 340 sec: 2970844 operations; 0 current ops/sec;  
 350 sec: 2970844 operations; 0 current ops/sec;  
 360 sec: 2970844 operations; 0 current ops/sec;  
 370 sec: 2970844 operations; 0 current ops/sec;  
 380 sec: 2970844 operations; 0 current ops/sec;  
 390 sec: 3015511 operations; 4465.36 current ops/sec;  
 400 sec: 3107029 operations; 9149.06 current ops/sec;  
 410 sec: 3201325 operations; 9427.71 current ops/sec; [INSERT AverageLatency(ms)=8.33] 
 420 sec: 3229162 operations; 2782.87 current ops/sec;  
 430 sec: 3277213 operations; 4803.66 current ops/sec; [INSERT AverageLatency(ms)=7] 
 440 sec: 3361323 operations; 8409.32 current ops/sec; [INSERT AverageLatency(ms)=9.4] 
 450 sec: 3453952 operations; 9260.12 current ops/sec; [INSERT AverageLatency(ms)=8.5] 
 460 sec: 3517790 operations; 6381.25 current ops/sec;  
 470 sec: 3607954 operations; 9014.6 current ops/sec; [INSERT AverageLatency(ms)=7] 
 480 sec: 3680734 operations; 7275.82 current ops/sec; [INSERT AverageLatency(ms)=8.38] 
 490 sec: 3762323 operations; 8156.45 current ops/sec; [INSERT AverageLatency(ms)=7.5] 
 500 sec: 3843210 operations; 8086.27 current ops/sec;  
 510 sec: 3911398 operations; 6817.44 current ops/sec; [INSERT AverageLatency(ms)=9] 
 520 sec: 4004116 operations; 9269.02 current ops/sec;  
 530 sec: 4071874 operations; 6773.77 current ops/sec; [INSERT AverageLatency(ms)=8.33] 
 540 sec: 4152970 operations; 8107.98 current ops/sec;  
 550 sec: 4232669 operations; 7967.51 current ops/sec;  
 560 sec: 4300852 operations; 6816.26 current ops/sec; [INSERT AverageLatency(ms)=8] 
 570 sec: 4391593 operations; 9072.29 current ops/sec;  
 580 sec: 4467146 operations; 7553.03 current ops/sec;  
 590 sec: 4541840 operations; 7467.16 current ops/sec;  
 600 sec: 4638007 operations; 9614.78 current ops/sec;  
 610 sec: 4706918 operations; 6889.03 current ops/sec; [INSERT AverageLatency(ms)=7.33] 
 620 sec: 4779070 operations; 7213.04 current ops/sec;  
 630 sec: 4779070 operations; 0 current ops/sec;  
 640 sec: 4779070 operations; 0 current ops/sec;  
 650 sec: 4779070 operations; 0 current ops/sec;  
 660 sec: 4779070 operations; 0 current ops/sec;  
 670 sec: 4779070 operations; 0 current ops/sec;  
 680 sec: 4779070 operations; 0 current ops/sec;  
 690 sec: 4779070 operations; 0 current ops/sec;  
 700 sec: 4779070 operations; 0 current ops/sec;  
 710 sec: 4779070 operations; 0 current ops/sec;  
 720 sec: 4779070 operations; 0 current ops/sec;  
 730 sec: 4779070 operations; 0 current ops/sec;  
 740 sec: 4797634 operations; 1855.84 current ops/sec; [INSERT AverageLatency(ms)=9] 
 750 sec: 4873651 operations; 7599.42 current ops/sec; [INSERT AverageLatency(ms)=9.5] 
 760 sec: 4943636 operations; 6997.1 current ops/sec; [INSERT AverageLatency(ms)=8.67] 
 770 sec: 5037388 operations; 9371.45 current ops/sec;  
 780 sec: 5037388 operations; 0 current ops/sec;  
 790 sec: 5037388 operations; 0 current ops/sec;  
 800 sec: 5037388 operations; 0 current ops/sec;  
 810 sec: 5037388 operations; 0 current ops/sec;  
 820 sec: 5064923 operations; 2752.95 current ops/sec; [INSERT AverageLatency(ms)=8.25] 
 830 sec: 5162117 operations; 9716.49 current ops/sec;  
 840 sec: 5230769 operations; 6863.14 current ops/sec; [INSERT AverageLatency(ms)=8] 
 850 sec: 5311829 operations; 8104.38 current ops/sec; [INSERT AverageLatency(ms)=9] 
 860 sec: 5394150 operations; 8229.63 current ops/sec;  
 870 sec: 5424865 operations; 3070.58 current ops/sec;  
 880 sec: 5424865 operations; 0 current ops/sec;  
 890 sec: 5424865 operations; 0 current ops/sec;  
 900 sec: 5424865 operations; 0 current ops/sec;  
 910 sec: 5424865 operations; 0 current ops/sec;  
 920 sec: 5434021 operations; 915.42 current ops/sec; [INSERT AverageLatency(ms)=7.75] 
 930 sec: 5500630 operations; 6658.9 current ops/sec;  
 940 sec: 5575131 operations; 7447.87 current ops/sec; [INSERT AverageLatency(ms)=193.67] 
 950 sec: 5654988 operations; 7984.1 current ops/sec; [INSERT AverageLatency(ms)=17] 
 960 sec: 5722392 operations; 6738.38 current ops/sec; [INSERT AverageLatency(ms)=9] 
 970 sec: 5810928 operations; 8850.94 current ops/sec; [INSERT AverageLatency(ms)=9] 
 980 sec: 5812342 operations; 141.37 current ops/sec;  
 990 sec: 5812342 operations; 0 current ops/sec;  
 1000 sec: 5812342 operations; 0 current ops/sec;  
 1010 sec: 5812342 operations; 0 current ops/sec;  
 1020 sec: 5812342 operations; 0 current ops/sec;  
 1030 sec: 5833400 operations; 2105.17 current ops/sec;  
 1040 sec: 5916289 operations; 8287.24 current ops/sec; [INSERT AverageLatency(ms)=10.5] 
 1050 sec: 5980801 operations; 6449.27 current ops/sec; [INSERT AverageLatency(ms)=6.5] 
 1060 sec: 6066216 operations; 8538.94 current ops/sec; [INSERT AverageLatency(ms)=8] 
