YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 10 sec: 88978 operations; 8865.88 current ops/sec; [INSERT AverageLatency(ms)=6.54] 
 20 sec: 182231 operations; 9274.29 current ops/sec; [INSERT AverageLatency(ms)=14] 
 30 sec: 273247 operations; 9098.87 current ops/sec;  
 40 sec: 337846 operations; 6457.96 current ops/sec;  
 50 sec: 385985 operations; 4812.46 current ops/sec; [INSERT AverageLatency(ms)=44.8] 
 60 sec: 431467 operations; 4547.29 current ops/sec;  
 70 sec: 476833 operations; 4535.24 current ops/sec;  
 80 sec: 518442 operations; 4159.65 current ops/sec;  
 90 sec: 559355 operations; 4090.07 current ops/sec; [INSERT AverageLatency(ms)=7.75] 
 100 sec: 593390 operations; 3402.82 current ops/sec;  
 110 sec: 631316 operations; 3791.46 current ops/sec; [INSERT AverageLatency(ms)=10] 
 120 sec: 668132 operations; 3680.5 current ops/sec;  
 130 sec: 706612 operations; 3846.85 current ops/sec;  
 140 sec: 742254 operations; 3563.13 current ops/sec;  
 150 sec: 779753 operations; 3749.15 current ops/sec; [INSERT AverageLatency(ms)=7.67] 
 160 sec: 816215 operations; 3645.11 current ops/sec;  
 170 sec: 857975 operations; 4174.75 current ops/sec;  
 180 sec: 894658 operations; 3667.57 current ops/sec; [INSERT AverageLatency(ms)=27.8] 
 190 sec: 934668 operations; 3999.4 current ops/sec; [INSERT AverageLatency(ms)=6.5] 
 200 sec: 973031 operations; 3835.15 current ops/sec;  
 210 sec: 1009322 operations; 3628.37 current ops/sec;  
 220 sec: 1051620 operations; 4228.53 current ops/sec;  
 230 sec: 1084228 operations; 3259.82 current ops/sec;  
 240 sec: 1124531 operations; 4029.09 current ops/sec;  
 250 sec: 1163185 operations; 3864.63 current ops/sec;  
 260 sec: 1196641 operations; 3344.6 current ops/sec;  
 270 sec: 1238034 operations; 4138.06 current ops/sec;  
 280 sec: 1272224 operations; 3418.32 current ops/sec;  
 290 sec: 1308187 operations; 3595.22 current ops/sec; [INSERT AverageLatency(ms)=23.75] 
 300 sec: 1348440 operations; 4024.09 current ops/sec; [INSERT AverageLatency(ms)=29.75] 
 310 sec: 1390830 operations; 4238.15 current ops/sec;  
 320 sec: 1419587 operations; 2874.84 current ops/sec;  
 330 sec: 1459121 operations; 3952.21 current ops/sec;  
