01:32:59 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00   1023.00
01:33:00 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00   1001.00
01:33:00 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM    9    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01      0.00
01:33:00 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:00 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      1.00
01:33:00 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      7.00
01:33:00 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00     14.00

01:33:00 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:01 AM  all    2.68    0.00    0.62    0.00    0.00    0.06    0.00   96.63   1049.50
01:33:01 AM    0    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02    991.09
01:33:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:01 AM    3    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01      0.00
01:33:01 AM    4    0.00    0.00    0.00    0.98    0.00    0.98    0.00   98.04     22.77
01:33:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:01 AM    8    8.00    0.00    2.00    0.00    0.00    0.00    0.00   90.00      0.00
01:33:01 AM    9    1.98    0.00    1.98    0.00    0.00    0.00    0.00   96.04      0.00
01:33:01 AM   10    4.04    0.00    1.01    0.00    0.00    0.00    0.00   94.95      0.00
01:33:01 AM   11    4.08    0.00    1.02    0.00    0.00    0.00    0.00   94.90      0.00
01:33:01 AM   12    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00      0.99
01:33:01 AM   13   12.00    0.00    1.00    0.00    0.00    0.00    0.00   87.00      1.98
01:33:01 AM   14    2.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00      8.91
01:33:01 AM   15    4.04    0.00    1.01    0.00    0.00    0.00    0.00   94.95     23.76

01:33:01 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:02 AM  all    3.00    0.00    1.25    0.00    0.00    0.00    0.00   95.75   1052.00
01:33:02 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00   1001.00
01:33:02 AM    1    4.04    0.00    1.01    0.00    0.00    0.00    0.00   94.95      0.00
01:33:02 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:02 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:33:02 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      7.00
01:33:02 AM    5    1.01    0.00    2.02    0.00    0.00    0.00    0.00   96.97      0.00
01:33:02 AM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00      0.00
01:33:02 AM    7    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00      0.00
01:33:02 AM    8    8.91    0.00    1.98    0.00    0.00    0.00    0.00   89.11      0.00
01:33:02 AM    9    7.07    0.00    3.03    0.00    0.00    0.00    0.00   89.90      0.00
01:33:02 AM   10    2.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00      0.00
01:33:02 AM   11    3.96    0.00    1.98    0.00    0.00    0.00    0.00   94.06      0.00
01:33:02 AM   12    2.00    0.00    2.00    0.00    0.00    0.00    0.00   96.00      2.00
01:33:02 AM   13    5.00    0.00    2.00    0.00    0.00    0.00    0.00   93.00      4.00
01:33:02 AM   14    2.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00     17.00
01:33:02 AM   15    7.92    0.00    2.97    0.00    0.00    0.00    0.00   89.11     21.00

01:33:02 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:03 AM  all    8.56    0.00    1.94    0.00    0.00    0.25    0.00   89.26   1035.00
01:33:03 AM    0    6.00    0.00    2.00    0.00    0.00    0.00    0.00   92.00   1001.00
01:33:03 AM    1   10.89    0.00    3.96    0.00    0.00    0.00    0.00   85.15      0.00
01:33:03 AM    2    6.86    0.00    0.98    0.00    0.00    0.98    0.00   91.18      0.00
01:33:03 AM    3    7.00    0.00    4.00    0.00    0.00    0.00    0.00   89.00      0.00
01:33:03 AM    4   10.89    0.00    1.98    0.00    0.00    0.00    0.00   87.13      1.00
01:33:03 AM    5   12.12    0.00    2.02    0.00    0.00    0.00    0.00   85.86      0.00
01:33:03 AM    6    8.91    0.00    0.99    0.00    0.00    0.99    0.00   89.11      0.00
01:33:03 AM    7    6.93    0.00    1.98    0.00    0.00    0.99    0.00   90.10      0.00
01:33:03 AM    8    6.06    0.00    2.02    0.00    0.00    0.00    0.00   91.92      0.00
01:33:03 AM    9    9.90    0.00    2.97    0.00    0.00    0.00    0.00   87.13      0.00
01:33:03 AM   10    5.88    0.00    1.96    0.00    0.00    0.98    0.00   91.18      0.00
01:33:03 AM   11    8.91    0.00    1.98    0.00    0.00    0.99    0.00   88.12      0.00
01:33:03 AM   12    7.00    0.00    1.00    0.00    0.00    0.00    0.00   92.00      1.00
01:33:03 AM   13   14.85    0.00    2.97    0.00    0.00    0.99    0.00   81.19      3.00
01:33:03 AM   14    9.00    0.00    1.00    0.00    0.00    0.00    0.00   90.00     12.00
01:33:03 AM   15    7.07    0.00    1.01    0.00    0.00    0.00    0.00   91.92     17.00

01:33:03 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:04 AM  all   15.48    0.00   12.36    0.00    0.00    2.87    0.00   69.29   1022.22
01:33:04 AM    0   20.20    0.00   20.20    0.00    0.00    8.08    0.00   51.52   1011.11
01:33:04 AM    1   10.89    0.00   20.79    0.00    0.00    2.97    0.00   65.35      0.00
01:33:04 AM    2   11.11    0.00   14.14    0.00    0.00    3.03    0.00   71.72      0.00
01:33:04 AM    3   12.00    0.00   14.00    0.00    0.00    2.00    0.00   72.00      0.00
01:33:04 AM    4    9.09    0.00   10.10    0.00    0.00    2.02    0.00   78.79      0.00
01:33:04 AM    5   11.88    0.00    9.90    0.00    0.00    2.97    0.00   75.25      0.00
01:33:04 AM    6   34.00    0.00    6.00    0.00    0.00    1.00    0.00   59.00      0.00
01:33:04 AM    7   32.00    0.00    5.00    0.00    0.00    1.00    0.00   62.00      0.00
01:33:04 AM    8   13.00    0.00   24.00    0.00    0.00    5.00    0.00   58.00      0.00
01:33:04 AM    9   10.10    0.00   15.15    0.00    0.00    2.02    0.00   72.73      0.00
01:33:04 AM   10   11.00    0.00   14.00    0.00    0.00    3.00    0.00   72.00      0.00
01:33:04 AM   11   12.12    0.00   12.12    0.00    0.00    2.02    0.00   73.74      0.00
01:33:04 AM   12   10.89    0.00   10.89    0.00    0.00    2.97    0.00   75.25      0.00
01:33:04 AM   13   14.00    0.00    9.00    0.00    0.00    3.00    0.00   74.00      1.01
01:33:04 AM   14   17.00    0.00    8.00    0.00    0.00    2.00    0.00   73.00      2.02
01:33:04 AM   15   16.83    0.00    4.95    0.00    0.00    1.98    0.00   76.24      8.08

01:33:04 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:05 AM  all    5.87    0.00   13.93    0.00    0.00    2.50    0.00   77.70   1000.99
01:33:05 AM    0    9.90    0.00    4.95    0.00    0.00    3.96    0.00   81.19    991.09
01:33:05 AM    1    4.00    0.00   10.00    0.00    0.00    2.00    0.00   84.00      0.00
01:33:05 AM    2    6.00    0.00    8.00    0.00    0.00    2.00    0.00   84.00      0.00
01:33:05 AM    3    6.00    0.00   12.00    0.00    0.00    3.00    0.00   79.00      0.00
01:33:05 AM    4    5.00    0.00   18.00    0.00    0.00    2.00    0.00   75.00      0.99
01:33:05 AM    5    6.00    0.00   11.00    0.00    0.00    1.00    0.00   82.00      0.00
01:33:05 AM    6    7.00    0.00   30.00    0.00    0.00    4.00    0.00   59.00      0.00
01:33:05 AM    7    4.00    0.00   12.00    0.00    0.00    1.00    0.00   83.00      0.00
01:33:05 AM    8    7.92    0.00   10.89    0.00    0.00    2.97    0.00   78.22      0.00
01:33:05 AM    9    4.95    0.00    7.92    0.00    0.00    2.97    0.00   84.16      0.00
01:33:05 AM   10    4.04    0.00    6.06    0.00    0.00    2.02    0.00   87.88      0.00
01:33:05 AM   11    8.82    0.00   10.78    0.00    0.00    3.92    0.00   76.47      0.00
01:33:05 AM   12    6.00    0.00   15.00    0.00    0.00    2.00    0.00   77.00      0.99
01:33:05 AM   13    4.95    0.00   14.85    0.00    0.00    2.97    0.00   77.23      1.98
01:33:05 AM   14    8.00    0.00   44.00    0.00    0.00    4.00    0.00   44.00      1.98
01:33:05 AM   15    4.04    0.00    6.06    0.00    0.00    1.01    0.00   88.89      3.96

01:33:05 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:33:06 AM  all    6.30    0.00   13.80    0.00    0.00    2.56    0.00   77.34   1008.00
01:33:06 AM    0    9.00    0.00    8.00    0.00    0.00    4.00    0.00   79.00   1001.00
01:33:06 AM    1    5.00    0.00    9.00    0.00    0.00    1.00    0.00   85.00      0.00
