========= C++ THREADED
01:32:07 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.06    0.00   99.94   1041.00
01:32:08 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00   1001.00
01:32:08 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      1.00
01:32:08 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00     13.00
01:32:08 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00     26.00
01:32:08 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:08 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00

01:32:08 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:09 AM  all    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94   1044.00
01:32:09 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00   1001.00
01:32:09 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      3.00
01:32:09 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      4.00
01:32:09 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      1.00
01:32:09 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00     11.00
01:32:09 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00     24.00
01:32:09 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00
01:32:09 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00      0.00

01:32:09 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:10 AM  all   22.83    0.00    4.49    0.00    0.00    1.19    0.00   71.49   1031.00
01:32:10 AM    0   27.00    0.00    2.00    0.00    0.00    0.00    0.00   71.00   1001.00
01:32:10 AM    1   30.00    0.00    5.00    0.00    0.00    0.00    0.00   65.00      1.00
01:32:10 AM    2   25.25    0.00    3.03    0.00    0.00    1.01    0.00   70.71      0.00
01:32:10 AM    3   21.00    0.00    4.00    0.00    0.00    2.00    0.00   73.00      0.00
01:32:10 AM    4   18.81    0.00    4.95    0.00    0.00    0.99    0.00   75.25      0.00
01:32:10 AM    5   19.00    0.00    5.00    0.00    0.00    1.00    0.00   75.00      0.00
01:32:10 AM    6   21.00    0.00    3.00    0.00    0.00    1.00    0.00   75.00      0.00
01:32:10 AM    7   23.00    0.00    5.00    0.00    0.00    1.00    0.00   71.00      0.00
01:32:10 AM    8   26.53    0.00    2.04    0.00    0.00    0.00    0.00   71.43      0.00
01:32:10 AM    9   29.00    0.00    9.00    0.00    0.00    2.00    0.00   60.00      0.00
01:32:10 AM   10   21.21    0.00    5.05    0.00    0.00    1.01    0.00   72.73     10.00
01:32:10 AM   11   20.79    0.00    4.95    0.00    0.00    1.98    0.00   72.28     19.00
01:32:10 AM   12   19.00    0.00    4.00    0.00    0.00    1.00    0.00   76.00      0.00
01:32:10 AM   13   18.00    0.00    5.00    0.00    0.00    2.00    0.00   75.00      0.00
01:32:10 AM   14   21.78    0.00    3.96    0.00    0.00    0.99    0.00   73.27      0.00
01:32:10 AM   15   23.76    0.00    4.95    0.00    0.00    1.98    0.00   69.31      0.00

01:32:10 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:11 AM  all   49.06    0.00   34.75    0.00    0.00    7.19    0.00    9.00   1013.00
